,Standard Industrial Classification (Revised 2007)   Section,Description,Year,Employment Sizeband 2,Number of enterprises,Total turnover,Approximate gross value added at basic prices (aGVA),"Total purchases  of goods, materials and services",Total employment costs,Total net capital expenditure 4,Total capital expenditure- acquisitions 4,Total capital expenditure - disposals 4,Total stocks and work in progress - value at end of year,Total stocks and work in progress - value at beginning of year,Total stocks and work in progress - increase during the year
0,Standard Industrial Classification (Revised 2007)   Section,Description,nan,nan,Number,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million,£ million
550,I ,activities,2019.0,Total,158560,107184,55522,51624,30931,6388,7561,1173,1801,1738,62
551,J ,Information and communication ,2009.0,1 to 9,135378,21716,13124,8434,5457,415,498,83,330,328,1
552,J ,Information and communication ,2009.0,10 to 49,6940,19014,8825,10209,5205,252,305,53,286,260,25
553,J ,Information and communication ,2009.0,50 to 249,1346,21358,10551,10886,6398,473,546,74,312,288,24
554,J ,Information and communication ,2009.0,250 and over,339,112912,50993,63415,26001,7180,7717,537,2549,2172,377
555,J ,Information and communication ,2009.0,Total,144003,175001,83494,92945,43063,8320,9067,747,3477,3049,428
556,J ,Information and communication ,2010.0,1 to 9,136748,21297,10913,10325,4930,351,389,38,396,356,40
557,J ,Information and communication ,2010.0,10 to 49,6901,20302,9846,10379,5228,499,548,49,234,241,-8
558,J ,Information and communication ,2010.0,50 to 249,1324,22872,12963,9914,6815,486,601,115,190,195,-5
559,J ,Information and communication ,2010.0,250 and over,326,119094,51587,68246,26134,7679,8427,748,2994,2653,340
560,J ,Information and communication ,2010.0,Total,145299,183565,85309,98864,43107,9015,9965,950,3813,3445,368
561,J ,Information and communication ,2011.0,1 to 9,147273,22386,14011,8394,5028,390,483,92,264,230,34
562,J ,Information and communication ,2011.0,10 to 49,7263,21932,11033,10877,5772,471,564,92,174,218,-44
563,J ,Information and communication ,2011.0,50 to 249,1368,25510,12944,12571,6538,909,1038,129,200,268,-67
564,J ,Information and communication ,2011.0,250 and over,332,119198,52591,66461,27166,7944,8294,351,2549,2882,-334
565,J ,Information and communication ,2011.0,Total,156236,189027,90579,98303,44503,9714,10378,664,3187,3598,-412
566,J ,Information and communication ,2012.0,1 to 9,152679,24370,14987,9182,5279,361,423,62,450,562,-113
567,J ,Information and communication ,2012.0,10 to 49,8036,23015,12085,11079,6186,463,538,75,344,346,-2
568,J ,Information and communication ,2012.0,50 to 249,1449,23812,11849,11995,6719,808,941,134,350,363,-14
569,J ,Information and communication ,2012.0,250 and over,341,118924,54078,64979,28069,7487,8405,918,2204,2485,-281
570,J ,Information and communication ,2012.0,Total,162505,190120,92999,97235,46254,9119,10308,1189,3347,3757,-409
571,J ,Information and communication ,2013.0,1 to 9,165747,26534,16455,10253,5249,523,684,161,529,358,171
572,J ,Information and communication ,2013.0,10 to 49,8318,24260,13139,11290,6358,449,565,116,570,448,122
573,J ,Information and communication ,2013.0,50 to 249,1530,25894,13256,12750,7499,611,690,79,747,673,75
574,J ,Information and communication ,2013.0,250 and over,357,122576,55235,68137,28760,8121,8583,462,2440,2118,323
575,J ,Information and communication ,2013.0,Total,175952,199264,98084,102431,47866,9704,10522,818,4287,3596,691
576,J ,Information and communication ,2014.0,1 to 9,176004,27725,17975,10204,5722,859,1009,150,917,592,326
577,J ,Information and communication ,2014.0,10 to 49,8743,25283,12806,12732,7088,892,935,43,373,317,56
578,J ,Information and communication ,2014.0,50 to 249,1634,29153,15982,13381,8630,1218,1290,72,*,*,*
579,J ,Information and communication ,2014.0,250 and over,365,122591,64785,60327,29763,7458,8274,816,*,*,*
580,J ,Information and communication ,2014.0,Total,186746,204751,111547,96644,51203,10427,11508,1081,4096,3627,469
581,J ,Information and communication ,2015.0,1 to 9,191161,29761,19327,10891,5590,950,1096,147,544,473,71
582,J ,Information and communication ,2015.0,10 to 49,9067,27115,13490,13677,7146,703,790,87,395,398,-2
583,J ,Information and communication ,2015.0,50 to 249,1702,32890,15756,17331,9440,1016,1078,62,*,*,*
584,J ,Information and communication ,2015.0,250 and over,379,130001,65085,66846,29889,9285,9706,421,*,*,*
585,J ,Information and communication ,2015.0,Total,202309,219767,113657,108745,52064,11954,12670,717,3875,3882,-7
586,J ,Information and communication ,2016.0,1 to 9,202013,28487,19454,9189,4768,1063,1240,176,688,667,21
587,J ,Information and communication ,2016.0,10 to 49,9321,27770,13452,14373,8294,618,726,108,432,487,-55
588,J ,Information and communication ,2016.0,50 to 249,1770,35622,16757,18966,10033,1273,1360,87,777,911,-134
589,J ,Information and communication ,2016.0,250 and over,399,138395,65214,76362,31360,10254,10596,342,2763,2844,-81
590,J ,Information and communication ,2016.0,Total,213503,230274,114877,118889,54455,13208,13921,713,4660,4909,-249
591,J ,Information and communication ,2017.0,1 to 9,206360,33633,20600,13326,5840,1240,1333,92,588,492,97
592,J ,Information and communication ,2017.0,10 to 49,9725,30859,16834,14288,8900,876,935,58,641,542,99
593,J ,Information and communication ,2017.0,50 to 249,1860,42614,20139,23064,10418,1495,1586,91,1042,760,282
594,J ,Information and communication ,2017.0,250 and over,401,142194,65756,80221,32361,10784,11031,247,2658,2494,163
595,J ,Information and communication ,2017.0,Total,218346,249299,123329,130899,57520,14396,14884,488,4929,4287,642
596,J ,Information and communication ,2018.0,1 to 9,211542,37386,21787,15829,5155,903,1058,155,314,260,54
597,J ,Information and communication ,2018.0,10 to 49,9973,31960,16296,16007,9602,854,905,51,752,616,136
598,J ,Information and communication ,2018.0,50 to 249,1980,44896,21211,24086,11485,1641,1730,89,801,737,64
599,J ,Information and communication ,2018.0,250 and over,410,153119,70311,86511,33629,11571,12390,819,3071,2886,185
600,J ,Information and communication ,2018.0,Total,223905,267361,129604,142432,59872,14969,16083,1114,4938,4499,439
601,J ,Information and communication ,2019.0,1 to 9,214657,41185,23906,17723,6448,947,1208,261,385,252,133
602,J ,Information and communication ,2019.0,10 to 49,10260,31544,15686,15925,9617,981,1023,43,241,144,96
603,J ,Information and communication ,2019.0,50 to 249,2118,46544,21884,25115,12598,1846,1900,54,404,251,152
604,J ,Information and communication ,2019.0,250 and over,424,160295,71520,92505,35737,10711,11301,590,3226,3018,208
605,J ,Information and communication ,2019.0,Total,227459,279568,132995,151268,64400,14485,15432,947,4255,3665,590
606,L ,Real estate activities ,2009.0,1 to 9,69895,15658,10803,4913,2121,1540,3497,1957,1932,1836,97
607,L ,Real estate activities ,2009.0,10 to 49,3921,5514,3617,1970,1511,393,469,75,292,202,89
608,L ,Real estate activities ,2009.0,50 to 249,582,7002,3478,3639,1775,510,671,160,297,197,100
609,L ,Real estate activities ,2009.0,250 and over,205,14205,7822,6307,4624,564,1258,694,1580,1786,-206
610,L ,Real estate activities ,2009.0,Total,74603,42379,25720,16830,10031,3008,5894,2887,4101,4021,79
611,L ,Real estate activities ,2010.0,1 to 9,70658,16032,11082,4810,1620,1101,2484,1383,1900,2010,-111
612,L ,Real estate activities ,2010.0,10 to 49,3843,6240,4103,2145,1433,-87,411,498,490,516,-26
613,L ,Real estate activities ,2010.0,50 to 249,567,7527,3913,3639,1897,604,665,60,191,206,-14
614,L ,Real estate activities ,2010.0,250 and over,209,15133,9143,6476,4888,685,1498,813,2218,1864,354
615,L ,Real estate activities ,2010.0,Total,75277,44933,28242,17070,9838,2303,5058,2755,4799,4596,203
616,L ,Real estate activities ,2011.0,1 to 9,70833,16817,11902,5247,1491,2483,3915,1432,1358,1197,161
617,L ,Real estate activities ,2011.0,10 to 49,4235,6074,3967,2217,1696,204,673,469,507,458,49
618,L ,Real estate activities ,2011.0,50 to 249,560,7487,4373,3026,1773,986,1295,309,146,279,-133
619,L ,Real estate activities ,2011.0,250 and over,212,15869,8694,7162,4955,934,2173,1239,1972,2048,-76
620,L ,Real estate activities ,2011.0,Total,75840,46246,28935,17652,9915,4607,8057,3450,3983,3982,1
621,L ,Real estate activities ,2012.0,1 to 9,73703,21525,13818,7573,1529,4418,6714,2296,2137,2334,-197
622,L ,Real estate activities ,2012.0,10 to 49,4727,7263,4473,2723,1872,-339,528,867,387,447,-60
623,L ,Real estate activities ,2012.0,50 to 249,566,7196,4721,2432,1962,804,926,122,88,104,-16
624,L ,Real estate activities ,2012.0,250 and over,210,17373,10623,6907,5243,1557,2289,732,1841,1742,100
625,L ,Real estate activities ,2012.0,Total,79206,53358,33634,19636,10606,6440,10457,4017,4455,4627,-172
626,L ,Real estate activities ,2013.0,1 to 9,77612,22759,15264,7479,1754,3297,6053,2756,2010,2198,-188
627,L ,Real estate activities ,2013.0,10 to 49,4815,7411,4492,2990,1865,751,969,218,128,152,-24
628,L ,Real estate activities ,2013.0,50 to 249,576,7667,4853,2836,1931,614,743,128,70,164,-93
629,L ,Real estate activities ,2013.0,250 and over,203,18354,12017,6766,5542,1438,1895,456,1906,1552,354
630,L ,Real estate activities ,2013.0,Total,83206,56191,36627,20070,11092,6101,9659,3558,4114,4065,49
631,L ,Real estate activities ,2014.0,1 to 9,79685,21050,14837,6872,1983,2575,4313,1738,2252,1900,352
632,L ,Real estate activities ,2014.0,10 to 49,5096,8127,4831,3407,2130,263,961,698,231,179,51
633,L ,Real estate activities ,2014.0,50 to 249,581,8651,5683,3200,2018,495,857,362,447,324,123
634,L ,Real estate activities ,2014.0,250 and over,210,19885,12790,7121,5925,2124,2551,427,1506,1599,-93
635,L ,Real estate activities ,2014.0,Total,85572,57713,38140,20601,12056,5457,8682,3225,4435,4002,433
636,L ,Real estate activities ,2015.0,1 to 9,82832,23210,16652,7045,1862,3878,5193,1315,4432,4233,199
637,L ,Real estate activities ,2015.0,10 to 49,5243,7902,4908,3027,2072,851,1054,203,359,380,-21
638,L ,Real estate activities ,2015.0,50 to 249,591,7598,4974,2798,2386,680,740,60,196,116,79
639,L ,Real estate activities ,2015.0,250 and over,227,23446,15610,8069,6779,1560,1799,240,1757,1634,123
640,L ,Real estate activities ,2015.0,Total,88893,62157,42143,20939,13099,6968,8787,1818,6743,6363,381
641,L ,Real estate activities ,2016.0,1 to 9,87325,21800,15381,6575,1845,2573,3833,1260,3998,3904,94
642,L ,Real estate activities ,2016.0,10 to 49,5322,9129,6222,2970,2166,2301,2464,163,212,180,32
643,L ,Real estate activities ,2016.0,50 to 249,586,7783,5037,3016,2062,502,565,64,773,544,230
644,L ,Real estate activities ,2016.0,250 and over,232,25041,16679,8674,6893,1634,2014,380,2202,2015,187
645,L ,Real estate activities ,2016.0,Total,93465,63753,43320,21235,12966,7009,8877,1868,7184,6643,542
646,L ,Real estate activities ,2017.0,1 to 9,89747,23527,16798,6883,1107,3416,3537,121,779,836,-58
647,L ,Real estate activities ,2017.0,10 to 49,5558,9378,6463,3029,2355,670,937,267,865,893,-28
648,L ,Real estate activities ,2017.0,50 to 249,581,7615,4952,2880,2103,578,677,99,777,490,286
649,L ,Real estate activities ,2017.0,250 and over,225,24885,17044,8664,7072,1454,1810,357,3609,2899,710
650,L ,Real estate activities ,2017.0,Total,96111,65405,45256,21456,12637,6117,6961,844,6029,5118,911
651,L ,Real estate activities ,2018.0,1 to 9,93326,27830,19560,8261,2014,2378,2651,272,415,496,-81
652,L ,Real estate activities ,2018.0,10 to 49,5651,9417,5795,3436,2017,1392,1744,352,748,991,-243
653,L ,Real estate activities ,2018.0,50 to 249,582,8628,5410,3491,2261,798,871,73,896,636,261
654,L ,Real estate activities ,2018.0,250 and over,232,25747,17191,9374,7307,1848,2028,180,4605,3944,661
655,L ,Real estate activities ,2018.0,Total,99791,71621,47957,24561,13599,6416,7294,878,6664,6066,598
656,L ,Real estate activities ,2019.0,1 to 9,95972,29549,21061,8778,1743,1761,3379,1618,161,142,19
657,L ,Real estate activities ,2019.0,10 to 49,5599,10280,6333,3937,2308,1272,1529,257,389,448,-58
658,L ,Real estate activities ,2019.0,50 to 249,596,8065,5214,2986,2087,576,1002,425,802,730,71
659,L ,Real estate activities ,2019.0,250 and over,238,26387,17233,9514,7639,1724,1998,274,5047,4812,235
660,L ,Real estate activities ,2019.0,Total,102405,74280,49841,25215,13777,5333,7908,2575,6399,6132,267
661,M,"Professional, scientific and technical ",2009.0,1 to 9,298533,48781,29732,18821,10562,595,729,133,1244,1125,119
662,M,activities,2009.0,10 to 49,19527,34310,20085,14242,11625,439,531,92,1468,1548,-80
663,M,activities,2009.0,50 to 249,3111,33298,17101,16229,11850,590,787,198,1677,1715,-39
664,M,activities,2009.0,250 and over,647,71469,38175,33583,27335,1628,2267,639,3758,3755,3
665,M,activities,2009.0,Total,321818,187858,105093,82875,61371,3252,4313,1062,8147,8143,3
666,M,activities,2010.0,1 to 9,305127,48953,29362,19649,11123,677,947,270,1133,1044,89
667,M,activities,2010.0,10 to 49,19021,34832,20438,14188,11103,466,629,163,1782,1835,-53
668,M,activities,2010.0,50 to 249,3071,34187,18870,15390,11344,722,901,179,1641,1486,155
669,M,activities,2010.0,250 and over,613,71164,36095,35273,27602,1576,2243,667,3797,3825,-28
670,M,activities,2010.0,Total,327832,189136,104765,84501,61173,3442,4720,1279,8353,8190,163
671,M,activities,2011.0,1 to 9,327425,55044,35955,19443,11726,813,1029,216,1482,1186,295
672,M,activities,2011.0,10 to 49,19461,34513,19587,14993,12069,627,759,132,2182,2065,116
673,M,activities,2011.0,50 to 249,3039,36515,20083,16635,12047,763,939,176,2088,2010,78
674,M,activities,2011.0,250 and over,622,75434,37791,38260,27733,1793,2104,311,3909,3760,149
675,M,activities,2011.0,Total,350547,201506,113416,89331,63575,3997,4832,835,9660,9021,639
676,M,activities,2012.0,1 to 9,337021,55015,36350,19295,10817,825,1103,278,1879,1587,292
677,M,activities,2012.0,10 to 49,20499,37471,21997,15725,12251,735,875,141,1670,1781,-112
678,M,activities,2012.0,50 to 249,3171,36487,19650,16309,12884,883,1022,139,1702,1652,50
679,M,activities,2012.0,250 and over,650,78499,37025,41874,29023,1705,1965,260,3900,3844,57
680,M,activities,2012.0,Total,361341,207472,115022,93204,64975,4148,4965,817,9151,8864,287
681,M,activities,2013.0,1 to 9,365249,57835,40482,18091,11653,819,1342,523,2941,2261,680
682,M,activities,2013.0,10 to 49,20956,41913,24796,17256,13119,524,821,296,1950,1860,90
683,M,activities,2013.0,50 to 249,3219,41032,23076,18026,13096,841,1092,252,2101,2102,-1
684,M,activities,2013.0,250 and over,686,85993,41166,45362,31003,2266,2628,362,4311,4117,194
685,M,activities,2013.0,Total,390110,226773,129521,98735,68871,4450,5883,1433,11303,10339,963
686,M,activities,2014.0,1 to 9,387246,63336,43912,19281,12509,2119,2471,352,3198,3312,-114
687,M,activities,2014.0,10 to 49,21743,43295,26078,17589,14524,1489,1642,152,2268,2026,242
688,M,activities,2014.0,50 to 249,3332,42440,25550,17228,15108,1374,1426,52,1896,1779,117
689,M,activities,2014.0,250 and over,694,89673,47719,42931,32126,2620,3399,779,4804,4444,360
690,M,activities,2014.0,Total,413015,238744,143260,97029,74267,7602,8938,1336,12166,11560,606
691,M,activities,2015.0,1 to 9,413629,64798,45450,19768,13390,1983,2253,270,3060,2912,147
692,M,activities,2015.0,10 to 49,22163,45352,28432,17053,16643,1421,1495,74,1755,1783,-28
693,M,activities,2015.0,50 to 249,3517,43835,25835,18229,16658,1471,1585,115,2123,2029,94
694,M,activities,2015.0,250 and over,774,102564,53560,50356,35658,5586,5702,116,5152,4764,388
695,M,activities,2015.0,Total,440083,256549,153277,105406,82349,10461,11036,575,12090,11488,602
696,M,activities,2016.0,1 to 9,451186,61434,45861,16157,14057,1714,2073,359,1907,1728,179
697,M,activities,2016.0,10 to 49,22892,47206,29626,17514,16912,3343,3575,232,1375,1484,-109
698,M,activities,2016.0,50 to 249,3603,48524,27471,21276,17994,1650,1836,185,1830,1855,-24
699,M,activities,2016.0,250 and over,781,111313,56208,56430,39025,5310,5646,336,6298,5653,645
700,M,activities,2016.0,Total,478462,268477,159166,111378,87989,12017,13129,1112,11409,10719,690
701,M,activities,2017.0,1 to 9,441126,75313,50004,26102,15323,1820,2100,280,1660,1312,347
702,M,activities,2017.0,10 to 49,23183,51748,30821,21245,17141,1593,1748,155,2469,2386,83
703,M,activities,2017.0,50 to 249,3696,53059,29163,24208,17520,1872,2072,200,1989,1997,-8
704,M,activities,2017.0,250 and over,786,112709,55098,58173,39184,3606,3866,260,6333,6529,-196
705,M,activities,2017.0,Total,468791,292828,165085,129729,89167,8891,9786,895,12451,12225,227
706,M,activities,2018.0,1 to 9,442249,80617,51275,29739,13506,1640,1944,305,1032,792,241
707,M,activities,2018.0,10 to 49,23505,53201,30171,23556,17245,1358,1539,181,1444,1320,124
708,M,activities,2018.0,50 to 249,3856,55587,29449,26710,16871,1920,1992,72,1317,994,323
709,M,activities,2018.0,250 and over,808,120662,60274,61487,41893,4134,5215,1081,6342,6115,228
710,M,activities,2018.0,Total,470418,310068,171169,141493,89516,9052,10691,1639,10135,9221,915
711,M,activities,2019.0,1 to 9,442846,82756,50334,32235,14466,2012,2266,255,1053,813,240
712,M,activities,2019.0,10 to 49,23495,54379,29842,24809,17752,1469,1546,76,1515,1706,-191
713,M,activities,2019.0,50 to 249,3981,60099,30887,29541,18926,2463,2537,74,2003,2019,-15
714,M,activities,2019.0,250 and over,824,125906,62953,64046,44070,4428,5158,730,6702,6417,285
715,M,activities,2019.0,Total,471146,323140,174016,150631,95214,10372,11507,1135,11273,10955,318
716,N ,Administrative and support service ,2009.0,1 to 9,134660,31720,14617,17228,5145,774,1080,306,446,319,127
717,N ,activities ,2009.0,10 to 49,12872,26836,10783,16048,6219,590,1095,506,272,329,-56
718,N ,activities ,2009.0,50 to 249,3527,25023,11585,13415,7252,1081,1521,440,235,238,-3
719,N ,activities ,2009.0,250 and over,1018,60365,29329,30931,22679,1131,3222,2091,279,446,-167
720,N ,activities ,2009.0,Total,152077,143945,66314,77623,41295,3576,6919,3342,1233,1333,-100
721,N ,activities ,2010.0,1 to 9,128855,30011,14371,15763,5719,832,1152,319,330,317,12
722,N ,activities ,2010.0,10 to 49,12563,27698,12160,15528,6127,725,1037,312,241,194,47
723,N ,activities ,2010.0,50 to 249,3577,26835,12742,14170,7305,944,1455,510,285,282,3
724,N ,activities ,2010.0,250 and over,946,67915,34599,33406,24334,2140,5211,3071,382,351,31
725,N ,activities ,2010.0,Total,145941,152459,73872,78866,43484,4642,8855,4213,1238,1144,93
726,N ,activities ,2011.0,1 to 9,135211,34343,16062,18347,5900,879,1355,476,351,319,32
727,N ,activities ,2011.0,10 to 49,13357,28735,12418,16317,6322,851,1349,498,221,217,4
728,N ,activities ,2011.0,50 to 249,3561,27762,14207,13708,7377,1164,1889,725,174,223,-49
729,N ,activities ,2011.0,250 and over,998,76262,37556,38796,26010,3770,7067,3297,483,433,50
730,N ,activities ,2011.0,Total,153127,167102,80243,87168,45609,6664,11660,4996,1229,1192,37
731,N ,activities ,2012.0,1 to 9,129562,32044,16158,15980,5943,1080,1451,371,593,534,59
732,N ,activities ,2012.0,10 to 49,14062,32018,15199,16752,6681,1227,1892,665,281,299,-18
733,N ,activities ,2012.0,50 to 249,3663,30436,15030,15550,7821,1644,2625,981,162,161,1
734,N ,activities ,2012.0,250 and over,993,77395,38458,38964,25729,3464,7282,3818,387,414,-27
735,N ,activities ,2012.0,Total,148280,171893,84846,87246,46173,7415,13250,5835,1424,1409,15
736,N ,activities ,2013.0,1 to 9,140868,37152,19544,17800,6668,1493,2028,534,583,610,-27
737,N ,activities ,2013.0,10 to 49,14656,34120,17190,17105,6706,1088,1788,700,525,468,58
738,N ,activities ,2013.0,50 to 249,3681,32806,16423,16577,8836,1289,1786,497,523,452,71
739,N ,activities ,2013.0,250 and over,1020,81907,42374,39676,26715,4271,9361,5091,514,436,78
740,N ,activities ,2013.0,Total,160225,185984,95530,91160,48925,8141,14963,6821,2145,1965,180
741,N ,activities ,2014.0,1 to 9,152369,40168,22082,18506,6869,2033,2563,529,984,664,320
742,N ,activities ,2014.0,10 to 49,15477,36313,19017,17441,7126,1687,2285,597,498,460,38
743,N ,activities ,2014.0,50 to 249,3844,35749,18799,17291,8777,1580,1867,287,320,327,-8
744,N ,activities ,2014.0,250 and over,1052,86393,47967,38826,29433,5444,11293,5848,500,505,-5
745,N ,activities ,2014.0,Total,172742,198623,107865,92064,52204,10745,18007,7262,2302,1957,345
746,N ,activities ,2015.0,1 to 9,159843,38790,21121,17893,6701,2586,2988,402,508,438,70
747,N ,activities ,2015.0,10 to 49,15849,37323,18956,18556,7753,2086,3523,1438,589,475,114
748,N ,activities ,2015.0,50 to 249,4005,36607,19535,17228,8985,1591,2267,677,412,384,28
749,N ,activities ,2015.0,250 and over,1113,94583,51843,43133,31484,6748,13062,6314,446,440,6
750,N ,activities ,2015.0,Total,180810,207302,111455,96811,54922,13010,21841,8831,1955,1736,219
751,N ,activities ,2016.0,1 to 9,209392,41850,22990,19017,7098,2531,2952,421,837,739,99
752,N ,activities ,2016.0,10 to 49,16855,40595,19701,20999,9121,1903,2923,1020,395,368,28
753,N ,activities ,2016.0,50 to 249,3975,38043,19611,18528,9760,1404,2139,735,315,293,22
754,N ,activities ,2016.0,250 and over,1084,98997,53349,46100,32069,6543,12890,6348,380,457,-77
755,N ,activities ,2016.0,Total,231306,219486,115652,104644,58047,12381,20905,8524,1928,1857,71
756,N ,activities ,2017.0,1 to 9,200685,52488,23385,29301,7391,2809,3284,474,1067,1008,60
757,N ,activities ,2017.0,10 to 49,17137,43669,21209,22634,9067,2034,2530,496,350,334,16
758,N ,activities ,2017.0,50 to 249,4057,40724,21730,19322,10252,1405,2123,717,345,314,31
759,N ,activities ,2017.0,250 and over,1141,100422,56328,44584,33831,5659,12719,7060,413,385,28
760,N ,activities ,2017.0,Total,223020,237303,122652,115841,60541,11907,20655,8748,2176,2041,135
761,N ,activities ,2018.0,1 to 9,203816,55723,25860,30129,6924,2418,3063,645,832,718,114
762,N ,activities ,2018.0,10 to 49,17763,43480,20955,22745,9640,2239,2699,460,536,517,19
763,N ,activities ,2018.0,50 to 249,4189,44111,21472,23147,11264,2133,2827,694,362,331,31
764,N ,activities ,2018.0,250 and over,1167,104682,58944,46154,35299,6235,13046,6812,525,530,-5
765,N ,activities ,2018.0,Total,226935,247996,127230,122176,63127,13025,21636,8611,2255,2095,159
766,N ,activities ,2019.0,1 to 9,221977,52151,27322,24837,8240,3150,3652,502,486,490,-4
767,N ,activities ,2019.0,10 to 49,17894,46065,19782,26507,9868,2357,2968,611,837,661,176
768,N ,activities ,2019.0,50 to 249,4281,46048,21822,24444,11633,1675,2193,518,522,450,72
769,N ,activities ,2019.0,250 and over,1224,110258,62475,48310,37257,6196,13294,7098,625,569,56
770,N ,activities ,2019.0,Total,245376,254523,131402,124098,66998,13378,22107,8729,2470,2170,300
771,P (Part) 3,Education ,2009.0,1 to 9,23156,3051,1822,1361,921,78,103,25,46,37,9
772,P (Part) 3,Education ,2009.0,10 to 49,4201,2951,1583,1181,1636,125,153,27,9,8,1
773,P (Part) 3,Education ,2009.0,50 to 249,1482,6291,4089,2253,4245,373,398,25,10,13,-3
774,P (Part) 3,Education ,2009.0,250 and over,699,16226,3902,12354,22325,4154,4669,514,248,270,-22
775,P (Part) 3,Education ,2009.0,Total,29538,28519,11395,17149,29128,4731,5322,591,312,328,-16
776,P (Part) 3,Education ,2010.0,1 to 9,23459,3192,2056,1229,958,116,122,6,59,36,24
777,P (Part) 3,Education ,2010.0,10 to 49,4252,3133,1893,1256,1599,133,139,6,2,2,24
778,P (Part) 3,Education ,2010.0,50 to 249,1373,5773,3469,2270,3925,404,437,33,7,9,-2
779,P (Part) 3,Education ,2010.0,250 and over,382,16297,5937,10345,17790,2971,3271,300,235,262,-27
780,P (Part) 3,Education ,2010.0,Total,29466,28395,13355,15100,24273,3624,3969,345,303,308,-5
781,P (Part) 3,Education ,2011.0,1 to 9,23899,3220,1777,1452,1099,32,122,91,31,12,19
782,P (Part) 3,Education ,2011.0,10 to 49,4511,3092,1812,1360,1575,128,140,12,4,7,-4
783,P (Part) 3,Education ,2011.0,50 to 249,1451,5422,2955,2412,4411,388,450,62,4,6,-1
784,P (Part) 3,Education ,2011.0,250 and over,393,17426,6700,10678,17914,3157,3403,246,196,247,-51
785,P (Part) 3,Education ,2011.0,Total,30254,29160,13243,15902,24999,3705,4116,410,235,272,-37
786,P (Part) 3,Education ,2012.0,1 to 9,23972,2884,1688,1197,938,53,67,14,58,45,13
787,P (Part) 3,Education ,2012.0,10 to 49,4995,3762,2184,1566,1729,157,176,18,33,21,12
788,P (Part) 3,Education ,2012.0,50 to 249,1513,5593,3230,2399,4697,720,755,35,32,18,14
789,P (Part) 3,Education ,2012.0,250 and over,650,19770,6601,13086,22503,3505,3895,390,206,296,-90
790,P (Part) 3,Education ,2012.0,Total,31130,32009,13703,18248,29867,4435,4893,458,329,380,-51
791,P (Part) 3,Education ,2013.0,1 to 9,25161,3306,1706,1649,1115,199,232,33,38,27,11
792,P (Part) 3,Education ,2013.0,10 to 49,5312,3899,2206,1731,1915,299,331,31,76,70,6
793,P (Part) 3,Education ,2013.0,50 to 249,1527,6128,3845,2208,4069,554,587,32,75,66,9
794,P (Part) 3,Education ,2013.0,250 and over,661,22293,8503,13824,23092,3806,4310,504,289,265,25
795,P (Part) 3,Education ,2013.0,Total,32661,35626,16260,19411,30191,4859,5460,600,479,429,50
796,P (Part) 3,Education ,2014.0,1 to 9,26045,3851,2086,1849,1218,298,309,11,65,20,45
797,P (Part) 3,Education ,2014.0,10 to 49,5698,4290,2790,1645,1947,357,367,10,38,29,9
798,P (Part) 3,Education ,2014.0,50 to 249,1559,6873,3967,2849,4297,561,795,235,47,49,-2
799,P (Part) 3,Education ,2014.0,250 and over,673,24814,10899,14106,24021,5399,5744,345,412,354,58
800,P (Part) 3,Education ,2014.0,Total,33975,39828,19741,20449,31484,6616,7216,600,562,452,110
801,P (Part) 3,Education ,2015.0,1 to 9,28092,3830,2166,1683,893,229,242,13,26,28,-2
802,P (Part) 3,Education ,2015.0,10 to 49,5766,4176,2751,1456,1919,235,273,38,17,17,-2
803,P (Part) 3,Education ,2015.0,50 to 249,1540,7145,4347,2780,4532,855,934,78,40,34,5
804,P (Part) 3,Education ,2015.0,250 and over,691,27267,13052,14397,25089,6017,6543,526,376,304,72
805,P (Part) 3,Education ,2015.0,Total,36089,42418,22315,20317,32433,7337,7991,654,460,384,76
806,P (Part) 3,Education ,2016.0,1 to 9,35068,2895,2018,894,955,107,126,19,103,83,20
807,P (Part) 3,Education ,2016.0,10 to 49,5801,4089,2452,1671,1983,323,346,24,54,11,43
808,P (Part) 3,Education ,2016.0,50 to 249,1552,7051,4200,2885,4808,1032,1091,59,20,25,-5
809,P (Part) 3,Education ,2016.0,250 and over,678,28615,14024,14850,25707,5671,6107,437,420,347,74
810,P (Part) 3,Education ,2016.0,Total,43099,42649,22695,20300,33453,7133,7671,538,598,466,131
811,P (Part) 3,Education ,2017.0,1 to 9,31608,4154,2295,1894,1105,190,214,24,*,*,*
812,P (Part) 3,Education ,2017.0,10 to 49,5939,4305,2666,1635,2071,532,544,12,*,*,*
813,P (Part) 3,Education ,2017.0,50 to 249,1542,7432,4577,2911,4695,928,975,47,31,24,8
814,P (Part) 3,Education ,2017.0,250 and over,661,29293,14509,15002,26447,5901,6345,445,278,319,-40
815,P (Part) 3,Education ,2017.0,Total,39750,45184,24048,21442,34318,7551,8078,528,386,419,-33
816,P (Part) 3,Education ,2018.0,1 to 9,32137,4108,2282,1819,1016,160,177,18,19,14,5
817,P (Part) 3,Education ,2018.0,10 to 49,6011,4346,2570,1784,2060,560,578,18,11,12,-1
818,P (Part) 3,Education ,2018.0,50 to 249,1525,7468,4678,2876,4728,893,998,105,22,14,8
819,P (Part) 3,Education ,2018.0,250 and over,678,31238,15455,16016,28003,6432,6800,368,281,261,21
